trip_id,start_time,end_time,headway_secs,exact_times
1:AVL---:1883,23:58:00,27:28:00,1800,1
1:AVL---:1526,20:43:00,21:43:00,1800,1
1:AVL---:1006,17:35:00,18:20:00,900,1
1:AVL---:1587,06:43:00,19:28:00,900,1
1:AVL---:1877,21:10:00,23:55:00,900,1
1:AVL---:2060,21:58:00,23:28:00,1800,1
1:AVL---:1625,11:54:00,19:54:00,1800,1
1:AVL---:872,20:29:00,21:29:00,1800,1
1:AVL---:1865,06:53:00,19:38:00,900,1
1:AVL---:848,08:34:00,19:34:00,1200,1
1:AVL---:1607,06:55:00,19:15:00,1200,1
1:AVL---:2022,07:07:00,08:27:00,600,1
1:AVL---:935,08:07:00,11:07:00,1800,1
1:AVL---:865,20:54:00,23:24:00,1800,1
1:AVL---:1017,11:47:00,12:32:00,900,1
1:AVL---:973,08:08:00,11:08:00,1800,1
1:AVL---:880,10:49:00,11:29:00,1200,1
1:AVL---:1497,06:56:00,07:26:00,900,1
1:AVL---:1635,11:22:00,19:22:00,1800,1
1:AVL---:2038,16:11:00,18:31:00,600,1
1:AVL---:1122,11:27:00,18:27:00,3600,1
1:AVL---:944,20:16:00,23:46:00,1800,1
1:AVL---:835,20:20:00,21:20:00,1800,1
1:AVL---:2054,05:53:00,06:33:00,1200,1
1:AVL---:1425,17:53:00,19:23:00,1800,1
1:AVL---:2015,06:00:00,06:40:00,600,1
1:AVL---:1097,12:07:00,13:37:00,600,1
1:AVL---:1869,05:26:00,06:26:00,1800,1
1:AVL---:1073,11:12:00,12:42:00,600,1
1:AVL---:1717,05:59:00,06:39:00,1200,1
1:AVL---:920,11:28:00,12:08:00,1200,1
1:AVL---:1830,07:53:00,11:13:00,1200,1
1:AVL---:1905,10:30:00,13:20:00,600,1
1:AVL---:814,07:03:00,19:43:00,1200,1
1:AVL---:2064,11:26:00,19:26:00,1800,1
1:AVL---:1771,12:19:00,13:19:00,1800,1
1:AVL---:2049,19:48:00,22:48:00,1800,1
1:AVL---:824,08:19:00,11:19:00,1800,1
1:AVL---:956,07:34:00,11:04:00,1800,1
1:AVL---:1636,08:53:00,10:53:00,1800,1
1:AVL---:1057,20:52:00,21:37:00,900,1
1:AVL---:980,11:36:00,12:06:00,900,1
1:AVL---:983,14:36:00,15:06:00,900,1
1:AVL---:888,11:32:00,19:02:00,1800,1
1:AVL---:1770,10:19:00,11:19:00,1800,1
1:AVL---:1846,09:34:00,10:34:00,1800,1
1:AVL---:878,08:09:00,08:49:00,1200,1
1:AVL---:808,06:44:00,09:14:00,1800,1
1:AVL---:1867,11:40:00,19:40:00,1800,1
1:AVL---:1083,05:51:00,06:31:00,600,1
1:AVL---:1744,09:01:00,19:31:00,5400,1
1:AVL---:900,08:10:00,19:50:00,1200,1
1:AVL---:1892,13:29:00,18:23:00,360,1
1:AVL---:1753,06:44:00,19:24:00,1200,1
1:AVL---:1678,18:03:00,20:03:00,1800,1
1:AVL---:903,06:37:00,07:37:00,1800,1
1:AVL---:1772,14:19:00,15:19:00,1800,1
1:AVL---:1019,14:32:00,15:02:00,900,1
1:AVL---:803,05:51:00,06:31:00,1200,1
1:AVL---:1402,20:31:00,21:31:00,1800,1
1:AVL---:877,06:49:00,07:29:00,1200,1
1:AVL---:1676,07:33:00,08:33:00,1800,1
1:AVL---:1806,15:20:00,16:20:00,1800,1
1:AVL---:815,08:24:00,19:44:00,1200,1
1:AVL---:1582,07:54:00,10:54:00,1800,1
1:AVL---:760,07:19:00,08:49:00,1800,1
1:AVL---:1084,21:49:00,23:49:00,1800,1
1:AVL---:838,08:20:00,10:50:00,1800,1
1:AVL---:1736,09:14:00,10:14:00,1800,1
1:AVL---:1065,07:21:00,11:21:00,1800,1
1:AVL---:967,22:08:00,23:38:00,1800,1
1:AVL---:1996,19:10:00,19:50:00,600,1
1:AVL---:921,12:48:00,13:28:00,1200,1
1:AVL---:1238,20:32:00,21:17:00,900,1
1:AVL---:1035,10:35:00,11:05:00,900,1
1:AVL---:2039,18:46:00,19:31:00,900,1
1:AVL---:785,11:13:00,19:13:00,3600,1
1:AVL---:1957,12:07:00,14:37:00,1800,1
1:AVL---:1269,11:57:00,17:57:00,3600,1
1:AVL---:1600,06:55:00,19:45:00,600,1
1:AVL---:1805,11:50:00,12:50:00,1800,1
