route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1:AVL---:2,1,2,"Limpertsberg, L.T.Michel Lucius - Cessange, Boy Konen",,3,,,
4:TIC---:15,4,15,"Esch/Alzette, Gare - Clemency, Schock",,3,,,
1:AVL---:1,1,1,"Kirchberg, Luxexpo Entrée Sud Quai 1 - Hollerich, P+R Bouillon",,3,,,
4:TIC---:14,4,14,"Rodange, Rue Joseph Moscardo - Differdange, Schoul",,3,,,
4:TIC---:17,4,17,"Esch/Alzette, Gare - Pontpierre, Paschtoueschhaus",,3,,,
1:AVL---:6,1,6,"Bertrange, Gemeng - Merl, St. Gengoul",,3,,,
1:AVL---:5,1,5,"Bonnevoie, Demy Schlechter - Bertrange, Gemeng",,3,,,
2:C88---:CRE7100,2,CRE,"Virton - Luxembourg, Gare Centrale",,2,,,
1:AVL---:4,1,4,"Leudelange, Gemeng - Luxembourg, Gare Centrale",,3,,,
4:TIC---:13,4,13,"Rodange, Rue Joseph Moscardo - Esch/Alzette, Gare",,3,,,
1:AVL---:3,1,3,"Bonnevoie, Lycée Technique de Bonnevoie/Quais - Howald, Waassertuerm",,3,,,
4:TIC---:12,4,12,"Esch/Alzette, Place Pierre Ponath - Esch/Alzette, Gare",,3,,,
1:AVL---:9,1,9,"Cents, Waassertuerm - Luxembourg, Gare Centrale",,3,,,
2:C82---:RB5100,2,RB,"Trier, Hauptbahnhof - Luxembourg, Gare Centrale",,2,,,
1:AVL---:8,1,8,"Eich, Centre Culturel - Bertrange, Waassertuerm",,3,,,
2:C82---:CRE1800,2,CRE,"Wiltz, Gare - Kautenbach, Gare",,2,,,
1:AVL---:7,1,7,"Pulvermuhl, Hammerdällchen - Kirchberg, Rehazenter Parking",,3,,,
2:C82---:CRE16900,2,CRE,"Luxembourg, Gare Centrale - Rodange, Gare",,2,,,
3:RGM---:334,3,334,"Pétange, Gare - Steinfort, Um Quai",,3,,,
3:RGM---:212,3,212,"Rodange, Gare - Luxembourg, Monterey Parc",,3,,,
3:RGM---:333,3,333,"Wandhaff - Bettange, Bei der Barriär",,3,,,
